        Thu Oct 12 21:04:13 2023
==================START==================

=======PARAMS:
K = 5	 1/(2^K) = 0.0312

i	state1	out	state2	filteredInput
0	100	3	97	3
1	197	6	191	6
2	291	9	282	9
3	382	11	371	11
4	471	14	457	14
5	557	17	540	17
6	640	20	620	20
7	720	22	698	22
8	798	24	774	24
9	874	27	847	27
10	947	29	918	29
11	1018	31	987	31
12	1087	33	1054	33
13	1154	36	1118	36
14	1218	38	1180	38
15	1280	40	1240	40
16	1340	41	1299	41
17	1399	43	1356	43
18	1456	45	1411	45
19	1511	47	1464	47
20	1564	48	1516	48
21	1616	50	1566	50
22	1666	52	1614	52
23	1714	53	1661	53
24	1761	55	1706	55
25	1806	56	1750	56
26	1850	57	1793	57
27	1893	59	1834	59
28	1934	60	1874	60
29	1974	61	1913	61
30	2013	62	1951	62
31	2051	64	1987	64
32	2087	65	2022	65
33	2122	66	2056	66
34	2156	67	2089	67
35	2189	68	2121	68
36	2221	69	2152	69
37	2252	70	2182	70
38	2282	71	2211	71
39	2311	72	2239	72
40	2339	73	2266	73
41	2366	73	2293	73
42	2393	74	2319	74
43	2419	75	2344	75
44	2444	76	2368	76
45	2468	77	2391	77
46	2491	77	2414	77
47	2514	78	2436	78
48	2536	79	2457	79
49	2557	79	2478	79
50	2578	80	2498	80
51	2598	81	2517	81
52	2617	81	2536	81
53	2636	82	2554	82
54	2654	82	2572	82
55	2672	83	2589	83
56	2689	84	2605	84
57	2705	84	2621	84
58	2721	85	2636	85
59	2736	85	2651	85
60	2751	85	2666	85
61	2766	86	2680	86
62	2780	86	2694	86
63	2794	87	2707	87
64	2807	87	2720	87
65	2820	88	2732	88
66	2832	88	2744	88
67	2844	88	2756	88
68	2856	89	2767	89
69	2867	89	2778	89
70	2878	89	2789	89
71	2889	90	2799	90
72	2899	90	2809	90
73	2909	90	2819	90
74	2919	91	2828	91
75	2928	91	2837	91
76	2937	91	2846	91
77	2946	92	2854	92
78	2954	92	2862	92
79	2962	92	2870	92
80	2970	92	2878	92
81	2978	93	2885	93
82	2985	93	2892	93
83	2992	93	2899	93
84	2999	93	2906	93
85	3006	93	2913	93
86	3013	94	2919	94
87	3019	94	2925	94
88	3025	94	2931	94
89	3031	94	2937	94
90	3037	94	2943	94
91	3043	95	2948	95
92	3048	95	2953	95
93	3053	95	2958	95
94	3058	95	2963	95
95	3063	95	2968	95
96	3068	95	2973	95
97	3073	96	2977	96
98	3077	96	2981	96
99	3081	96	2985	96
100	3085	96	2989	96
101	3089	96	2993	96
102	3093	96	2997	96
103	3097	96	3001	96
104	3101	96	3005	96
105	3105	97	3008	97
106	3108	97	3011	97
107	3111	97	3014	97
108	3114	97	3017	97
109	3117	97	3020	97
110	3120	97	3023	97
111	3123	97	3026	97
112	3126	97	3029	97
113	3129	97	3032	97
114	3132	97	3035	97
115	3135	97	3038	97
116	3138	98	3040	98
117	3140	98	3042	98
118	3142	98	3044	98
119	3144	98	3046	98
120	3146	98	3048	98
121	3148	98	3050	98
122	3150	98	3052	98
123	3152	98	3054	98
124	3154	98	3056	98
125	3156	98	3058	98
126	3158	98	3060	98
127	3160	98	3062	98
128	3162	98	3064	98
129	3164	98	3066	98
130	3166	98	3068	98
131	3168	99	3069	99
132	3169	99	3070	99
133	3170	99	3071	99
134	3171	99	3072	99
135	3172	99	3073	99
136	3173	99	3074	99
137	3174	99	3075	99
138	3175	99	3076	99
139	3176	99	3077	99
140	3177	99	3078	99
141	3178	99	3079	99
142	3179	99	3080	99
143	3180	99	3081	99
144	3181	99	3082	99
145	3182	99	3083	99
146	3183	99	3084	99
147	3184	99	3085	99
148	3185	99	3086	99
149	3186	99	3087	99
150	3187	99	3088	99
151	3188	99	3089	99
152	3189	99	3090	99
153	3190	99	3091	99
154	3191	99	3092	99
155	3192	99	3093	99
156	3193	99	3094	99
157	3194	99	3095	99
158	3195	99	3096	99
159	3196	99	3097	99
160	3197	99	3098	99
161	3198	99	3099	99
162	3199	99	3100	99
163	3200	100	3100	100
164	3200	100	3100	100
165	3200	100	3100	100
166	3200	100	3100	100
167	3200	100	3100	100
168	3200	100	3100	100
169	3200	100	3100	100
170	3200	100	3100	100
171	3200	100	3100	100
172	3200	100	3100	100
